OBJECTID,shortName,cableSystem,owner,status,region
163,,,,,Great Lakes
164,,,,,Great Lakes
165,,,,,Great Lakes
166,,,,,Great Lakes
167,,,,,Great Lakes
168,,,,,Great Lakes
169,,,,,Great Lakes
170,,,,,Great Lakes
171,,,,,Great Lakes
172,,,,,Great Lakes
173,,,,,Great Lakes
174,,,,,Great Lakes
175,,,,,Great Lakes
176,,,,,Great Lakes
177,,,,,Great Lakes
178,,,,,Great Lakes
179,,,,,Great Lakes
180,Kellys,Kellys Island,Hancock-Wood Electric Cooperative,In Service,Great Lakes
181,,,,,Great Lakes
182,,,,,Great Lakes
183,,,,,Great Lakes
184,,,,,Great Lakes
185,,,,,Great Lakes
186,,,,,Great Lakes
187,,,,,Great Lakes
188,,,,,Great Lakes
189,,,,,Great Lakes
190,,,,,Great Lakes
191,,,,,Great Lakes
192,,,,,Great Lakes
193,,,,,Great Lakes
194,,,,,Great Lakes
195,,,,,Great Lakes
196,,,,,Great Lakes
197,,,,,Great Lakes
198,,,,,Great Lakes
199,,,,,Great Lakes
200,,,,,Great Lakes
201,,,,,Great Lakes
202,,,,,Great Lakes
203,,,,,Great Lakes
204,,,,,Great Lakes
205,,,,,Great Lakes
206,,,,,Great Lakes
207,,,,,Great Lakes
208,,,,,Great Lakes
209,,,,,Great Lakes
210,,,,,Great Lakes
211,,,,,Great Lakes
212,,,,,Great Lakes
213,,,,,Great Lakes
214,,,,,Great Lakes
215,,,,,Great Lakes
216,,,,,Great Lakes
217,,,,,Great Lakes
218,,,,,Great Lakes
219,,,,,Great Lakes
220,,,,,Great Lakes
221,,,,,Great Lakes
222,,,,,Great Lakes
223,,,,,Great Lakes
224,,,,,Great Lakes
225,,,,,Great Lakes
226,,,,,Great Lakes
227,,,,,Great Lakes
228,,,,,Great Lakes
229,,,,,Great Lakes
230,,,,,Great Lakes
231,,,,,Great Lakes
232,,,,,Great Lakes
233,,,,,Great Lakes
234,,,,,Great Lakes
235,,,,,Great Lakes
236,,,,,Great Lakes
237,,,,,Great Lakes
238,,,,,Great Lakes
239,,,,,Great Lakes
240,,,,,Great Lakes
241,,,,,Great Lakes
242,,,,,Great Lakes
243,,,,,Great Lakes
244,,,,,Great Lakes
245,,,,,Great Lakes
246,,,,,Great Lakes
247,,,,,Great Lakes
248,,,,,Great Lakes
249,,,,,Great Lakes
250,,,,,Great Lakes
251,,,,,Great Lakes
252,,,,,Great Lakes
253,,,,,Great Lakes
254,,,,,Great Lakes
255,,,,,Great Lakes
256,,,,,Great Lakes
257,,,,,Great Lakes
258,,,,,Great Lakes
259,,,,,Great Lakes
260,,,,,Great Lakes
261,,,,,Great Lakes
262,,,,,Great Lakes
263,,,,,Great Lakes
264,,,,,Great Lakes
265,,,,,Great Lakes
266,,,,,Great Lakes
267,Mackinac,Mackinac Power Cable,American Transmission Company,In Service,Great Lakes
268,,,,,Great Lakes
269,,,,,Great Lakes
270,,,,,Great Lakes
271,,,,,Great Lakes
272,,,,,Great Lakes
273,,,,,Great Lakes
274,,,,,Great Lakes
275,,,,,Great Lakes
276,,,,,Great Lakes
277,,,,,Great Lakes
278,,,,,Great Lakes
279,,,,,Great Lakes
280,,,,,Great Lakes
281,,,,,Great Lakes
282,,,,,Great Lakes
283,,,,,Great Lakes
284,,,,,Great Lakes
285,,,,,Great Lakes
286,,,,,Great Lakes
287,,,,,Great Lakes
288,,,,,Great Lakes
289,,,,,Great Lakes
290,,,,,Great Lakes
291,,,,,Great Lakes
292,,,,,Great Lakes
293,,,,,Great Lakes
294,,,,,Great Lakes
295,,,,,Great Lakes
296,,,,,Great Lakes
297,,,,,Great Lakes
298,,,,,Great Lakes
299,,,,,Great Lakes
300,,,,,Great Lakes
301,,,,,Great Lakes
302,,,,,Great Lakes
303,,,,,Great Lakes
304,,,,,Great Lakes
305,,,,,Great Lakes
306,,,,,Great Lakes
307,,,,,Great Lakes
308,,,,,Great Lakes
309,,,,,Great Lakes
310,,,,,Great Lakes
311,,,,,Great Lakes
312,,,,,Great Lakes
313,,,,,Great Lakes
314,,,,,Great Lakes
315,,,,,Great Lakes
316,,,,,Great Lakes
317,,,,,Great Lakes
318,,,,,Great Lakes
319,,,,,Great Lakes
320,,,,,Great Lakes
321,,,,,Great Lakes
322,,,,,Great Lakes
323,,,,,Great Lakes
324,,,,,Great Lakes
325,,,,,Great Lakes
326,,,,,Great Lakes
327,,,,,Great Lakes
328,,,,,Great Lakes
329,,,,,Great Lakes
330,,,,,Great Lakes
331,,,,,Great Lakes
332,,,,,Great Lakes
333,,,,,Great Lakes
334,,,,,Great Lakes
335,,,,,Great Lakes
336,,,,,Great Lakes
337,,,,,Great Lakes
338,,,,,Great Lakes
339,,,,,Great Lakes
340,,,,,Great Lakes
341,,,,,Great Lakes
342,,,,,Great Lakes
343,,,,,Great Lakes
344,,,,,Great Lakes
345,,,,,Great Lakes
346,,,,,Great Lakes
347,,,,,Great Lakes
348,,,,,Great Lakes
349,,,,,Great Lakes
350,,,,,Great Lakes
351,,,,,Great Lakes
352,,,,,Great Lakes
353,,,,,Great Lakes
354,,,,,Great Lakes
355,,,,,Great Lakes
356,,,,,Great Lakes
357,,,,,Great Lakes
358,,,,,Great Lakes
359,,,,,Great Lakes
360,,,,,Great Lakes
361,,,,,Great Lakes
362,,,,,Great Lakes
363,,,,,Great Lakes
364,,,,,Great Lakes
365,,,,,Great Lakes
366,,,,,Great Lakes
367,,,,,Great Lakes
368,,,,,Great Lakes
369,,,,,Great Lakes
370,,,,,Great Lakes
371,,,,,Great Lakes
372,,,,,Great Lakes
373,,,,,Great Lakes
374,,,,,Great Lakes
375,,,,,Great Lakes
376,,,,,Great Lakes
377,,,,,Great Lakes
378,,,,,Great Lakes
379,,,,,Great Lakes
380,,,,,Great Lakes
381,,,,,Great Lakes
382,,,,,Great Lakes
383,,,,,Great Lakes
384,,,,,Great Lakes
385,,,,,Great Lakes
386,,,,,Great Lakes
387,,,,,Great Lakes
388,,,,,Great Lakes
389,,,,,Great Lakes
390,,,,,Great Lakes
391,,,,,Great Lakes
392,,,,,Great Lakes
393,,,,,Great Lakes
394,,,,,Great Lakes
395,,,,,Great Lakes
396,,,,,Great Lakes
397,,,,,Great Lakes
398,,,,,Great Lakes
399,,,,,Great Lakes
400,,,,,Great Lakes
401,,,,,Great Lakes
402,PacWave,PacWave South,Oregon State University,In Service,West Coast
403,WAAK 1,Washington - Alaska 1,AT&T Corp,Out of Service,West Coast
404,Cable 99,Cable 99,Eversource Energy,In Service,East Coast
405,,Power Transmission Cable,National Grid and Orsted,In Service,East Coast
406,,Power Transmission Cable,National Grid and Orsted,In Service,East Coast
407,MVCO,Martha's Vineyard Coastal Observatory,Woods Hole Oceanographic Institution,In Service,East Coast
408,JUS 9,Japan U.S. Cable Network,AT&T Corp,In Service,West Coast
409,MARS,Monterey Accelerated Research System,Monterey Bay Aquarium Research Institute,In Service,West Coast
410,Cross Sound,Cross Sound Cable Interconnector HVDC,Cross Sound Cable Company LLC,In Service,East Coast
411,JUS 8,Japan U.S. Cable Network,AT&T Corp,In Service,West Coast
412,Cutler,Cutler,Department of Defense,In Service,East Coast
413,230 kV,Silver Run Project,Hope Creek Nuclear Power Plant,In Service,East Coast
414,KetchCan1,KetchCan1 Submarine Fiber Cable System,Ketchikan Public Utilities,In Service,Pacific Northwest
415,KPU,Submarine Power Cable,Ketchikan Public Utilities,In Service,Pacific Northwest
416,,LEO 15 Fiber Optic Cable,Rutgers University Marine Field Station,In Service,East Coast
417,,Power Transmission Cable - West Montalvo Oil Field,California Resource Corporation,In Service,West Coast
418,,Power Transmission Cable - West Montalvo Oil Field,California Resource Corporation,In Service,West Coast
419,GTMO 1,GTMO 1,Department of Defense,In Service,Caribbean
420,GTMO PR,GTMO PR,Department of Defense,In Service,Caribbean
421,,Nantucket Harbor Electric Supply,National Grid,In Service,East Coast
422,TAT 11-D,TAT 11,AT&T Corp,Out of Service,East Coast
423,TAT 8-D1,TAT 8,AT&T Corp,Out of Service,East Coast
424,600 MW,Hudson Transmission Project Power Cable,PowerBridge,In Service,East Coast
425,Neptune,Neptune HVDC,Neptune Regional Transmission System LLC,In Service,East Coast
426,Apollo North,Apollo Submarine Cable System,Vodafone,In Service,East Coast
427,Apollo South,Apollo Submarine Cable System,Vodafone,In Service,East Coast
428,FLAG Atlantic 1,FLAG Atlantic 1,Global Cloud Xchange,In Service,East Coast
429,TAT 12-13,TAT 12-13 Interlink,AT&T,In Service,East Coast
430,,Nantucket Harbor Electric Supply,National Grid,In Service,East Coast
431,TAT 6,TAT 6,AT&T Corp,Out of Service,East Coast
432,CANUS 1,CANUS,TATA Communications,Out of Service,East Coast
433,TAT 5,TAT 5,AT&T Corp,Out of Service,East Coast
434,,1869 French Atlantic Cable,Anglo-American Telegraph Company,Abandoned,East Coast
435,TAT 12,TAT 12,AT&T Corp,Out of Service,East Coast
436,TGN A-2,TGN A,TATA Communications,In Service,East Coast
437,TGN A-1,TGN A,TATA Communications,In Service,East Coast
438,GB,Gemini Bermuda,Verizon,In Service,East Coast
439,EXA Express,EXA Infrastructure Express,EXA Infrastructure,In Service,East Coast
440,TAT 4,TAT 4,AT&T Corp,Out of Service,East Coast
441,GlobeNet 1,GlobeNet,GlobeNet Cable System,In Service,East Coast
442,GlobeNet 1,GlobeNet,GlobeNet Cable System,In Service,East Coast
443,GlobeNet 5,GlobeNet,GlobeNet Cable System,In Service,East Coast
444,FLAG Atlantic 1,FLAG Atlantic North,Global Cloud Xchange,In Service,East Coast
445,PTAT E1,Private Transatlantic Tellecommunications Cable System,Sprint,Out of Service,East Coast
446,CB 1,Challenger Bermuda,OneCommunications,In Service,East Coast
447,Yellow,Yellow Cable System,Lumen Technologies Inc,In Service,East Coast
448,AC 1-A,Atlantic Crossing 1,Colt Technology Services Group Limited,In Service,East Coast
449,AC 1-C,Atlantic Crossing 1,Colt Technology Services Group Limited,In Service,East Coast
450,MAC 1-3,Mid Atlantic Crossing,Lumen Technologies Inc,In Service,East Coast
451,MAC 1-1,Mid Atlantic Crossing,Lumen Technologies Inc,In Service,East Coast
452,PCCS 1,Pacific Caribbean Cable System 1,Pacific Caribbean Cable System Consortium,In Service,East Coast
453,,Possible telegraph cables,<Null>,Abandoned,East Coast
454,,Possible telegraph cables,<Null>,Abandoned,East Coast
455,,Possible telegraph cables,<Null>,Abandoned,East Coast
456,,Possible telegraph cables,<Null>,Abandoned,East Coast
457,,Possible telegraph cables,<Null>,Abandoned,East Coast
458,,Possible telegraph cables,<Null>,Abandoned,East Coast
459,,Possible telegraph cables,<Null>,Abandoned,East Coast
460,,Possible telegraph cables,,Abandoned,East Coast
461,,Possible telegraph cables,,Abandoned,East Coast
462,,Possible telegraph cables,,Abandoned,East Coast
463,MONET 1,MONET 1,"Angola Cables, Google, Algar Telecom, Antel Uruguay",In Service,East Coast
464,BICS 6,Bahamas Internet Cable System,Caribbean Crossings,In Service,East Coast
465,,Possible telegraph cables,,Abandoned,East Coast
466,,Possible telegraph cables,,Abandoned,East Coast
467,Tampnet,Gulf of Mexico Fiber Optic Network,Tampnet,In Service,Gulf of America
468,BSCS,Boriken Submarine Cable System,Blackburn Technology,In Service,Caribbean
469,BRUSA 4.3,BRUSA Cable System,Telxius,In Service,Caribbean
470,BRUSA 4.1,BRUSA Cable System,Telxius,In Service,Caribbean
471,MAYA 1,MAYA 1,"Verizon, AT&T, T-Mobile, Hondutel, Telefonica, and others",In Service,East Coast
472,ARCOS 1-25,Americas Region Caribbean Optical-Ring System,Consortium Ownership Model,In Service,East Coast
473,Americas 1 N,Americas 1 North - Columbus II B,AT&T Corp,In Service,East Coast
474,Bahamas II Cable,Bahamas II Cable System,The Bahamas Telecommunications Company Limited,In Service,East Coast
475,FST 3,Florida St Thomas 3,AT&T Corp,Out of Service,East Coast
476,Bahamas 1,Bahamas 1,AT&T Corp,Out of Service,East Coast
