OBJECTID,shortName,cableSystem,owner,status,region
564,MAC 1-1,Mid-Atlantic Crossing,Lumen Technologies Inc,In Service,East Coast
565,ARCOS 1-1,Americas Region Caribbean Optical-Ring System,Consortium Ownership Model,In Service,East Coast
566,WETS,Wave Energy Test Site Power Line,Department of Defense,In Service,Pacific Islands
567,,Utility Cables,Squirrel Point,Out of Service,East Coast
568,,Utility Cables,Squirrel Point,Out of Service,East Coast
569,,Telephone Cable,AT&T Corp,Out of Service,East Coast
570,,Utility Cables,Seguin Island Lighthouse,In Service,East Coast
571,,Utility Cables,Cuckolds Lighthouse,In Service,East Coast
572,,Utility Cables,Cabbage Island,In Service,East Coast
573,,Utility Cables,Cabbage Island,In Service,East Coast
574,,Utility Cables,Cabbage Island,In Service,East Coast
575,,Utility Cables,Cabbage Island,In Service,East Coast
576,,Utility Cables,Cabbage Island,In Service,East Coast
577,,Utility Cables,Cabbage Island,In Service,East Coast
578,,,,,Gulf of America
579,,,,,Gulf of America
580,,,,,Gulf of America
581,,,,,Gulf of America
582,,,,,Gulf of America
583,,,,,Gulf of America
584,,,,,Gulf of America
585,,,,,Gulf of America
586,,,,,Gulf of America
587,,,,,Gulf of America
588,,,,,Gulf of America
589,,,,,Gulf of America
590,,,,,Gulf of America
591,,,,,Gulf of America
592,,,,,Gulf of America
593,,,,,Gulf of America
594,,,,,Gulf of America
595,,,,,Gulf of America
596,,,,,Gulf of America
597,,,,,Gulf of America
598,,,,,Gulf of America
599,,,,,Gulf of America
600,,,,,Gulf of America
601,,,,,Gulf of America
602,,,,,Gulf of America
603,,,,,Gulf of America
604,,,,,Gulf of America
605,,,,,East Coast
606,,,,,East Coast
607,,,,,East Coast
608,,,,,East Coast
609,,,,,East Coast
610,,,,,East Coast
611,,,,,East Coast
612,,,,,East Coast
613,,,,,East Coast
614,,,,,East Coast
615,,,,,East Coast
616,,,,,East Coast
617,,,,,Gulf of America
618,,,,,Gulf of America
619,,,,,Gulf of America
620,,,,,Gulf of America
621,,,,,Gulf of America
622,,,,,Gulf of America
623,,,,,Gulf of America
624,,,,,East Coast
625,,,,,East Coast
626,,,,,Pacific Islands
627,,,,,Pacific Islands
628,,,,,Pacific Islands
629,,,,,Pacific Islands
630,,,,,Pacific Islands
631,,,,,Gulf of America
632,,,,,Gulf of America
633,,,,,Gulf of America
634,,,,,Gulf of America
635,,,,,East Coast
636,,,,,East Coast
637,,,,,East Coast
638,,,,,East Coast
639,,,,,East Coast
640,,,,,East Coast
641,,,,,East Coast
642,,,,,East Coast
643,,,,,East Coast
644,,,,,East Coast
645,,,,,East Coast
646,,,,,Gulf of America
647,,,,,Gulf of America
648,,,,,Gulf of America
649,,,,,Gulf of America
650,,,,,Gulf of America
651,,,,,Gulf of America
652,,,,,Gulf of America
653,,,,,Gulf of America
654,,,,,Gulf of America
655,,,,,Gulf of America
656,,,,,Great Lakes
657,,,,,Great Lakes
658,,,,,Gulf of America
659,,,,,Gulf of America
660,,,,,Gulf of America
661,,,,,Gulf of America
662,,,,,Gulf of America
663,,,,,Gulf of America
664,,,,,Gulf of America
665,,,,,Gulf of America
666,,,,,Gulf of America
667,,,,,Gulf of America
668,,,,,Gulf of America
669,,,,,Gulf of America
670,,,,,East Coast
671,,,,,East Coast
672,,,,,East Coast
673,,,,,East Coast
674,,,,,East Coast
675,,,,,East Coast
676,,,,,East Coast
677,,,,,East Coast
678,,,,,East Coast
679,,,,,East Coast
680,,,,,East Coast
681,,,,,East Coast
682,,,,,Gulf of America
683,,,,,Gulf of America
684,,,,,Gulf of America
685,,,,,Gulf of America
686,,,,,Gulf of America
687,,,,,Gulf of America
688,,,,,Gulf of America
689,,,,,Gulf of America
690,,,,,Gulf of America
691,,,,,Gulf of America
692,,,,,Gulf of America
693,,,,,Gulf of America
694,,,,,Gulf of America
695,,,,,Gulf of America
696,,,,,Gulf of America
697,,,,,Gulf of America
698,,,,,Gulf of America
699,,,,,Gulf of America
700,,,,,East Coast
701,,,,,East Coast
702,,,,,East Coast
703,,,,,East Coast
704,,,,,East Coast
705,,,,,East Coast
706,,,,,East Coast
707,,,,,East Coast
708,,,,,East Coast
709,,,,,East Coast
710,,,,Abandoned,East Coast
711,,,,,East Coast
712,,,,,East Coast
713,,,,,East Coast
714,,,,,Gulf of America
715,4 x 25 kV,,Florida Power and Light,In Service,Gulf of America
716,,,,,Gulf of America
717,,,,,Gulf of America
718,,,,,East Coast
719,,,,,East Coast
720,,,,,East Coast
721,,,,,East Coast
722,,,,,East Coast
723,,,,,East Coast
724,,,,,Gulf of America
725,,,,,Gulf of America
726,,,,,Gulf of America
727,,,,,Gulf of America
728,,,,,Gulf of America
729,,,,,Gulf of America
730,,,,,Gulf of America
731,,,,,East Coast
732,,,,,East Coast
733,,,,,East Coast
734,,,,,East Coast
735,,,,,East Coast
736,,,,,East Coast
737,,,,,East Coast
738,,,,,East Coast
739,,,,,East Coast
740,,,,,East Coast
741,,,,,East Coast
742,,,,,East Coast
743,,,,,East Coast
744,,,,,East Coast
745,,,,,East Coast
746,,,,,East Coast
747,,,,,East Coast
748,,,,,East Coast
749,,,,,East Coast
750,,,,,East Coast
751,,,,,East Coast
752,,,,,East Coast
753,,,,,East Coast
754,,,,,East Coast
755,,,,,East Coast
756,,,,,Gulf of America
757,,,,,Gulf of America
758,,,,,Gulf of America
759,,,,,Gulf of America
760,,,,,Gulf of America
761,,,,,Gulf of America
762,,,,,East Coast
763,,,,,East Coast
764,,,,,East Coast
765,,,,,East Coast
766,,,,,East Coast
767,,,,,East Coast
768,,,,,East Coast
769,,,,,East Coast
770,,,,,East Coast
771,,,,,East Coast
772,,,,,East Coast
773,,,,,East Coast
774,,,,,East Coast
775,,,,,East Coast
776,,,,,East Coast
777,,,,,East Coast
778,,,,,East Coast
779,,,,,East Coast
780,,,,,East Coast
781,,,,,East Coast
782,,,,,East Coast
783,,,,,East Coast
784,,,,,East Coast
785,,,,,East Coast
786,,,,,East Coast
787,,,,,East Coast
788,,,,,East Coast
789,,,,,Gulf of America
790,,,,,Gulf of America
791,,,,,East Coast
792,,,,,East Coast
793,,,,,East Coast
794,,,,,East Coast
795,,,,,East Coast
796,,,,,East Coast
797,,,,,East Coast
798,,,,,East Coast
799,,,,,East Coast
800,,,,,East Coast
801,,,,,East Coast
802,,,,,East Coast
803,,,,,East Coast
804,,,,,East Coast
805,,,,,East Coast
806,,,,,East Coast
807,,,,,East Coast
808,,,,,East Coast
809,,,,,East Coast
810,,,,,East Coast
811,,,,,East Coast
812,,,,,East Coast
813,,,,,East Coast
814,,,,,East Coast
815,,,,,East Coast
816,,,,,East Coast
817,,,,,East Coast
818,,,,,East Coast
819,,,,,East Coast
820,,,,,East Coast
821,,,,,East Coast
822,,,,,East Coast
823,,,,,East Coast
824,,,,,East Coast
825,,,,,East Coast
826,,,,,East Coast
827,,,,,Gulf of America
828,,,,,Gulf of America
829,,,,,Gulf of America
830,,,,,Gulf of America
831,,,,,Gulf of America
832,,,,,Gulf of America
833,,,,,East Coast
834,,,,,East Coast
835,,,,,East Coast
836,,,,,East Coast
837,,,,,East Coast
838,,,,,East Coast
839,,,,,East Coast
840,,,,,East Coast
841,,,,,East Coast
842,,,,,East Coast
843,,,,,East Coast
844,,Power Transmission Cable,,,East Coast
845,,,,,East Coast
846,,,,,East Coast
847,,,,,East Coast
848,,,,,East Coast
849,,,,,East Coast
850,,,,,East Coast
851,,,,,East Coast
852,,,,,East Coast
853,,,,,East Coast
854,,,,,East Coast
855,,,,,East Coast
856,,,,,East Coast
857,,,,,East Coast
858,,,,,East Coast
859,,,,,East Coast
860,,,,,East Coast
861,,,,,East Coast
862,,,,,East Coast
863,,,,,East Coast
864,,,,,East Coast
865,,,,,East Coast
866,,,,,East Coast
867,,,,,East Coast
868,,,,,East Coast
869,,,,,East Coast
870,,,,,East Coast
871,,,,,East Coast
872,,,,,East Coast
873,,,,,East Coast
874,,,,,East Coast
875,,,,,East Coast
876,,,,,East Coast
877,,,,,East Coast
878,,,,,East Coast
879,,,,,East Coast
880,,,,,East Coast
881,,,,,East Coast
882,,,,,East Coast
883,,,,,East Coast
884,,,,,East Coast
885,,,,,East Coast
886,,,,,East Coast
887,,,,,East Coast
888,,,,,East Coast
889,,,,,East Coast
890,,,,,East Coast
891,,,,,East Coast
892,,,,,East Coast
893,,,,,East Coast
894,,,,,East Coast
895,,,,,East Coast
896,,,,,East Coast
897,,,,,East Coast
898,,,,,East Coast
899,,,,,East Coast
900,,,,,East Coast
901,,,,,East Coast
902,,,,,East Coast
903,,,,,East Coast
904,,,,,East Coast
905,,,,,East Coast
906,,,,,East Coast
907,,,,,East Coast
908,,,,,East Coast
909,,,,,East Coast
910,,,,,East Coast
911,,,,,East Coast
912,,,,,East Coast
913,,,,,East Coast
914,,,,,East Coast
915,,,,,East Coast
916,,,,,East Coast
917,,,,,East Coast
918,,,,,East Coast
919,,,,,East Coast
920,,,,,East Coast
921,,,,,East Coast
922,,,,,East Coast
923,,,,,East Coast
924,,,,,East Coast
925,,,,,East Coast
926,,,,,East Coast
927,,,,,East Coast
928,,,,,East Coast
929,,,,,East Coast
930,,,,,East Coast
931,,,,,East Coast
932,,,,,East Coast
933,,,,,East Coast
934,,,,,East Coast
935,,,,,East Coast
936,,,,,East Coast
937,,,,,East Coast
938,,,,,East Coast
939,,,,,East Coast
940,,,,,East Coast
941,,,,,East Coast
942,,,,,East Coast
943,,,,,East Coast
944,,,,,East Coast
945,,Multiple Cables,,,East Coast
946,,,,,East Coast
947,,,,,East Coast
948,,,,,East Coast
949,,,,,East Coast
950,,,,,East Coast
951,,,,,East Coast
952,,,,,East Coast
953,,,,,East Coast
954,,,,,East Coast
955,,,,,East Coast
956,,,,,East Coast
957,,,,,East Coast
958,,,,,East Coast
959,,,,,East Coast
960,,,,,East Coast
961,,,,,East Coast
962,,,,,East Coast
963,,,,,East Coast
964,,,,,East Coast
965,,,,,East Coast
966,,,,,East Coast
967,,,,,East Coast
968,,,,,East Coast
969,,,,,East Coast
970,,,,,East Coast
971,,,,,East Coast
972,,,,,East Coast
973,,,,,East Coast
974,,,,,East Coast
975,,,,,East Coast
976,,,,,East Coast
977,,,,,East Coast
978,,,,,East Coast
979,,,,,Gulf of America
980,,,,,Gulf of America
981,,,,,Gulf of America
982,,,,,Gulf of America
983,,,,,Gulf of America
984,,,,,East Coast
985,,,,,East Coast
986,,,,,East Coast
987,,,,,East Coast
988,,,,,East Coast
989,,,,,East Coast
990,,,,,East Coast
991,,,,,East Coast
992,,,,,East Coast
993,,,,,East Coast
994,,,,,East Coast
995,,,,,East Coast
996,,,,,East Coast
997,,,,,East Coast
998,,,,,East Coast
999,,,,,East Coast
1000,,,,,East Coast
1001,,,,,East Coast
1002,,,,,East Coast
1003,,,,,East Coast
1004,,,,,East Coast
1005,,,,,East Coast
1006,,,,,East Coast
1007,,,,,East Coast
1008,,,,,East Coast
1009,,,,,East Coast
1010,,,,,East Coast
1011,,,,,Gulf of America
1012,,,,,Gulf of America
1013,,,,,Gulf of America
1014,,,,,Gulf of America
1015,,,,,Gulf of America
1016,,,,,Gulf of America
1017,,,,,Gulf of America
1018,,,,,Gulf of America
1019,,,,,Gulf of America
1020,,,,,Gulf of America
1021,,,,,East Coast
1022,,,,,East Coast
1023,,,,,East Coast
1024,,,,,East Coast
1025,,,,,East Coast
1026,,,,,East Coast
1027,,,,,East Coast
1028,,Power Transmission Cable,,,East Coast
1029,,,,,East Coast
1030,,,,,East Coast
1031,,,,,East Coast
1032,,,,,East Coast
1033,,,,,East Coast
1034,,,,,Gulf of America
1035,,,,,Gulf of America
1036,,,,,East Coast
1037,,,,,East Coast
1038,,,,,East Coast
1039,,,,,East Coast
1040,,Telephone Cable,,,East Coast
1041,,,,,Gulf of America
1042,,,,,Gulf of America
1043,,,,,Gulf of America
1044,,,,,Gulf of America
1045,,,,,Gulf of America
1046,,,,,Gulf of America
1047,,,,,Gulf of America
1048,,,,,Gulf of America
1049,,,,,Gulf of America
1050,,,,,Gulf of America
1051,,,,,Gulf of America
1052,,,,,East Coast
1053,,,,,East Coast
1054,,,,,East Coast
1055,,,,,East Coast
1056,,,,,East Coast
1057,,,,,East Coast
1058,,,,,East Coast
1059,,,,,East Coast
1060,,,,,Gulf of America
1061,,,,,Gulf of America
1062,,,,,Gulf of America
1063,,,,,Gulf of America
1064,,,,,Gulf of America
1065,,,,,Gulf of America
1066,,,,,Gulf of America
1067,,,,,Gulf of America
1068,,,,,Gulf of America
1069,,,,,Gulf of America
1070,,,,,East Coast
1071,,,,,East Coast
1072,,,,,East Coast
1073,,,,,East Coast
1074,,,,,East Coast
1075,,,,,East Coast
1076,,,,,Gulf of America
1077,,,,,Gulf of America
1078,,,,,Gulf of America
1079,,,,,Gulf of America
1080,,,,,Gulf of America
1081,,,,,Gulf of America
1082,,,,,Gulf of America
1083,,,,,East Coast
1084,,,,,East Coast
1085,,,,,East Coast
1086,,,,,East Coast
1087,,,,,East Coast
1088,,,,,East Coast
1089,,,,,East Coast
1090,,,,,East Coast
1091,,,,,East Coast
1092,,,,,West Coast
1093,,,,,West Coast
1094,,,,,West Coast
1095,,,,,West Coast
1096,,,,,West Coast
1097,,,,,West Coast
1098,,,,,West Coast
1099,,,,,East Coast
1100,,,,,East Coast
1101,,,,,East Coast
1102,,,,,East Coast
1103,,,,,East Coast
1104,,,,,East Coast
1105,,,,,East Coast
1106,,,,,East Coast
1107,,,,,East Coast
1108,,,,,Gulf of America
1109,,,,,Gulf of America
1110,,,,,Gulf of America
1111,,,,,Gulf of America
1112,,,,,Gulf of America
1113,,,,,Gulf of America
1114,,,,,Gulf of America
1115,,,,,Gulf of America
1116,,,,,Gulf of America
1117,,,,,Gulf of America
1118,,,,,Gulf of America
1119,,,,,Gulf of America
1120,,,,,East Coast
1121,,,,,East Coast
1122,,,,,East Coast
1123,,,,,East Coast
1124,,,,,East Coast
1125,,,,,East Coast
1126,,,,,East Coast
1127,,,,,East Coast
1128,,,,,West Coast
1129,,,,,West Coast
1130,,,,,West Coast
1131,,,,,West Coast
1132,,<Null>,,,West Coast
1133,,,,,West Coast
1134,,,,,East Coast
1135,,,,,East Coast
1136,,,,,East Coast
1137,,,,,East Coast
1138,,,,,East Coast
1139,,,,,East Coast
1140,,,,,East Coast
1141,,,,,East Coast
1142,,,,,East Coast
1143,,,,,Gulf of America
1144,,,,,Gulf of America
1145,,,,,Gulf of America
1146,,,,,Gulf of America
1147,,,,,Gulf of America
1148,,,,,Gulf of America
1149,,,,,Gulf of America
1150,,,,,Gulf of America
1151,,,,,Gulf of America
1152,,,,,East Coast
1153,,,,,East Coast
1154,,,,,East Coast
1155,,,,,East Coast
1156,,,,,East Coast
1157,,,,,East Coast
1158,,,,,East Coast
1159,,,,,East Coast
1160,,,,,East Coast
1161,,,,,East Coast
1162,,,,,East Coast
1163,,,,,West Coast
1164,,,,,West Coast
1165,,,,,West Coast
1166,,,,,West Coast
1167,,,,,West Coast
1168,,,,,West Coast
1169,,,,,West Coast
1170,,,,,West Coast
1171,,,,,West Coast
1172,,,,,West Coast
1173,,,,,West Coast
1174,,,,,West Coast
1175,,,,,West Coast
1176,,,,,West Coast
1177,,,,,West Coast
1178,,,,,East Coast
1179,,,,,East Coast
1180,,Hydrophones,,,East Coast
1181,,,,,East Coast
1182,,,,,Gulf of America
1183,,,,,Gulf of America
1184,,,,,Gulf of America
1185,,,,,East Coast
1186,,,,,East Coast
1187,,,,,East Coast
1188,,,,,East Coast
1189,,,,,East Coast
1190,,,,,East Coast
1191,,,,,East Coast
1192,,,,,East Coast
1193,,,,,East Coast
1194,,,,,East Coast
1195,,,,,East Coast
1196,,,,,East Coast
1197,,,,,East Coast
1198,,,,,East Coast
1199,,,,,East Coast
1200,,,,,East Coast
1201,,,,,East Coast
1202,,,,,West Coast
1203,,,,,West Coast
1204,,,,,West Coast
1205,,,,,West Coast
1206,,,,,West Coast
1207,,,,,West Coast
1208,,,,,West Coast
1209,,,,,East Coast
1210,,,,,East Coast
1211,,,,,East Coast
1212,,,,,East Coast
1213,,,,,East Coast
1214,,,,,Gulf of America
1215,,,,,Gulf of America
1216,,,,,Gulf of America
1217,,,,,Gulf of America
1218,,,,,Gulf of America
1219,,,,,Gulf of America
1220,,,,,Gulf of America
1221,,,,,Gulf of America
1222,,,,,Gulf of America
1223,,,,,East Coast
1224,,,,,East Coast
1225,,,,,East Coast
1226,,,,,East Coast
1227,,,,,East Coast
1228,,,,,East Coast
1229,,,,,East Coast
1230,,,,,East Coast
1231,,,,,East Coast
1232,,,,,East Coast
1233,,,,,East Coast
1234,,,,,East Coast
1235,,,,,East Coast
1236,,,,,East Coast
1237,,,,,East Coast
1238,,,,,East Coast
1239,,,,,East Coast
1240,,,,,East Coast
1241,,,,,East Coast
1242,,,,,East Coast
1243,,,,,East Coast
1244,,,,,West Coast
1245,,,,,West Coast
1246,,,,,West Coast
1247,,,,,West Coast
1248,,,,,West Coast
1249,,,,,West Coast
1250,,,,,West Coast
1251,,,,,West Coast
1252,,,,,East Coast
1253,,,,,East Coast
1254,,,,,East Coast
1255,,,,,East Coast
1256,,,,,East Coast
1257,,,,,Gulf of America
1258,,,,,Gulf of America
1259,,,,,Gulf of America
1260,,,,,Gulf of America
1261,,,,,Gulf of America
1262,,,,,Gulf of America
1263,,,,,Gulf of America
1264,,,,,Gulf of America
1265,,,,,Gulf of America
1266,,,,,East Coast
1267,,,,,East Coast
1268,,,,,East Coast
1269,,,,,East Coast
1270,,,,,East Coast
1271,,,,,East Coast
1272,,,,,East Coast
1273,,,,,East Coast
1274,,,,,East Coast
1275,,,,,East Coast
1276,,,,,East Coast
1277,,,,,East Coast
1278,,,,,East Coast
1279,,,,,East Coast
1280,,,,,East Coast
1281,,,,,East Coast
1282,,,,,West Coast
1283,,,,,West Coast
1284,,,,,West Coast
1285,,,,,West Coast
1286,,,,,West Coast
1287,FOCUS 1,Fiber Optic Communcations Undersea System,Department of Defense,In Service,West Coast
1288,,,,,West Coast
1289,,,,,West Coast
1290,,,,,East Coast
1291,,,,,East Coast
1292,,,,,East Coast
1293,,,,,East Coast
1294,,,,,East Coast
1295,,,,,Gulf of America
1296,,,,,Gulf of America
1297,,,,,Gulf of America
1298,,,,,Gulf of America
1299,,,,,Gulf of America
1300,,,,,Gulf of America
1301,,,,,Gulf of America
1302,,,,,Gulf of America
1303,,,,,Gulf of America
1304,,,,,Gulf of America
1305,,,,,Gulf of America
1306,,,,,Gulf of America
1307,,,,,Gulf of America
1308,,,,,Gulf of America
1309,,,,,Gulf of America
1310,,,,,Gulf of America
1311,,,,,Gulf of America
1312,,,,,Gulf of America
1313,,,,,East Coast
1314,,,,,East Coast
1315,,,,,East Coast
1316,,,,,East Coast
1317,,,,,East Coast
1318,,,,,East Coast
1319,,,,,East Coast
1320,,,,,East Coast
1321,,,,,East Coast
1322,,,,,East Coast
1323,,,,,East Coast
1324,,,,,East Coast
1325,,,,,East Coast
1326,,,,,East Coast
1327,,,,,West Coast
1328,,,,,West Coast
1329,,,,,West Coast
1330,,,,,West Coast
1331,,,,,West Coast
1332,,,,,West Coast
1333,,,,,West Coast
1334,,,,,Gulf of America
1335,,,,,Gulf of America
1336,,,,,Gulf of America
1337,,,,,Gulf of America
1338,,,,,Gulf of America
1339,,,,,Gulf of America
1340,,,,,Gulf of America
1341,,,,,Gulf of America
1342,,,,,Gulf of America
1343,,,,,Gulf of America
1344,,,,,Gulf of America
1345,,,,,Gulf of America
1346,,,,,Gulf of America
1347,,,,,Gulf of America
1348,,,,,Gulf of America
1349,,,,,Gulf of America
1350,,,,,Gulf of America
1351,,,,,West Coast
1352,,,,,West Coast
1353,,,,,West Coast
1354,,,,,West Coast
1355,,,,,West Coast
1356,,,,,West Coast
1357,,,,,West Coast
1358,,,,,West Coast
1359,,,,,Gulf of America
1360,,,,,Gulf of America
1361,,,,,Gulf of America
1362,,,,,Gulf of America
1363,,,,,Gulf of America
1364,,,,,Gulf of America
1365,,,,,Gulf of America
1366,,,,,Gulf of America
1367,,,,,Gulf of America
1368,,,,,West Coast
1369,,,,,West Coast
1370,,,,,West Coast
1371,,,,,West Coast
1372,,,,,West Coast
1373,,,,,West Coast
1374,,,,,West Coast
1375,,,,,West Coast
1376,,,,,West Coast
1377,,,,,West Coast
1378,,,,,West Coast
1379,,,,,West Coast
1380,,,,,West Coast
1381,,,,,Gulf of America
1382,,,,,Gulf of America
1383,,,,,Gulf of America
1384,,,,,Gulf of America
1385,,,,,West Coast
1386,,,,,West Coast
1387,,,,,West Coast
1388,,,,,West Coast
1389,,,,,West Coast
1390,,,,,West Coast
1391,,,,,West Coast
1392,,,,,West Coast
1393,,,,,West Coast
1394,,,,,West Coast
1395,,,,,West Coast
1396,,,,,Gulf of America
1397,,,,,Gulf of America
1398,,,,,Gulf of America
1399,,,,,Gulf of America
1400,,,,,Gulf of America
1401,,,,,Gulf of America
1402,,,,,Gulf of America
1403,,,,,Gulf of America
1404,,,,,Gulf of America
1405,,,,,Gulf of America
1406,,,,,West Coast
1407,,,,,West Coast
1408,,,,,West Coast
1409,,,,,West Coast
1410,,,,,West Coast
1411,,,,,West Coast
1412,,,,,West Coast
1413,,,,,West Coast
1414,,,,,West Coast
1415,,,,,West Coast
1416,,,,,Gulf of America
1417,,,,,Gulf of America
1418,,,,,Gulf of America
1419,,,,,Gulf of America
1420,,,,,Gulf of America
1421,,,,,Gulf of America
1422,,,,,Gulf of America
1423,,,,,Gulf of America
1424,,,,,Pacific Northwest
1425,,,,,Gulf of America
1426,,,,,West Coast
1427,,,,,West Coast
1428,,,,,West Coast
1429,,,,,West Coast
1430,,,,,West Coast
1431,,,,,East Coast
1432,,,,,East Coast
1433,,,,,East Coast
1434,,,,,East Coast
1435,,,,,Gulf of America
1436,,,,,Gulf of America
1437,,,,,Gulf of America
1438,,,,,Gulf of America
1439,,,,,Gulf of America
1440,,,,,Gulf of America
1441,,,,,Gulf of America
1442,,,,,Gulf of America
1443,,,,,Gulf of America
1444,,,,,Gulf of America
1445,,,,,Gulf of America
1446,,Power Transmission Cable,,,Gulf of America
1447,,,,,Gulf of America
1448,,,,,Gulf of America
1449,,,,,Gulf of America
1450,,,,,East Coast
1451,,,,,East Coast
1452,3 x 138 kV,Northport-to-Norwalk XLPE,,In Service,East Coast
1453,,,,,East Coast
1454,,,,,East Coast
1455,,,,,East Coast
1456,,,,,East Coast
1457,,,,,East Coast
1458,,,,,East Coast
1459,,,,,East Coast
1460,,,,,East Coast
1461,,,,,East Coast
1462,,,,,East Coast
1463,,,,,East Coast
1464,,,,,East Coast
1465,,,,,East Coast
1466,,,,,Gulf of America
1467,,,,,Gulf of America
1468,,,,,Gulf of America
1469,,,,,West Coast
1470,,,,,West Coast
1471,,,,,West Coast
1472,,,,,West Coast
1473,,,,,West Coast
1474,,,,,West Coast
1475,,,,,East Coast
1476,,,,,East Coast
1477,,,,,East Coast
1478,,,,,East Coast
1479,,,,,East Coast
1480,,,,,East Coast
1481,,,,,East Coast
1482,,,,,East Coast
1483,,Power Transmission Cable,,,East Coast
1484,,,,,East Coast
1485,,,,,East Coast
1486,,,,,East Coast
1487,,,,,East Coast
1488,,,,,East Coast
1489,,,,,East Coast
1490,,,,,East Coast
1491,,,,,East Coast
1492,,,,,East Coast
1493,,,,,West Coast
1494,,,,,West Coast
1495,,,,,West Coast
1496,,,,,West Coast
1497,,,,,West Coast
1498,,,,,West Coast
1499,,,,,West Coast
1500,,,,,West Coast
1501,,,,,West Coast
1502,,,,,West Coast
1503,,,,,West Coast
1504,,,,,East Coast
1505,,,,,East Coast
1506,,,,,East Coast
1507,,,,,East Coast
1508,,,,,East Coast
1509,,,,,East Coast
1510,,,,,East Coast
1511,,,,,East Coast
1512,,,,,East Coast
1513,,,,,East Coast
1514,,,,,East Coast
1515,,,,,West Coast
1516,,,,,West Coast
1517,,,,,West Coast
1518,,,,,West Coast
1519,,,,,West Coast
1520,,,,,West Coast
1521,,,,,West Coast
1522,,,,,West Coast
1523,,,,,West Coast
1524,,,,,East Coast
1525,,,,,East Coast
1526,,,,,East Coast
1527,,,,,East Coast
1528,,,,,East Coast
1529,,,,,East Coast
1530,,,,,East Coast
1531,,,,,East Coast
1532,,,,,East Coast
1533,,,,,Gulf of America
1534,,,,,Gulf of America
1535,,,,,Gulf of America
1536,,,,,Gulf of America
1537,,,,,Gulf of America
1538,,,,,Gulf of America
1539,,,,,Gulf of America
1540,,,,,Gulf of America
1541,,,,,West Coast
1542,,,,,West Coast
1543,,,,,West Coast
1544,,,,,West Coast
1545,,,,,West Coast
1546,,,,,East Coast
1547,,,,,East Coast
1548,,,,,East Coast
1549,,,,,East Coast
1550,,,,,East Coast
1551,,,,,East Coast
1552,,,,,Gulf of America
1553,,,,,Gulf of America
1554,,,,,Gulf of America
1555,,,,,Gulf of America
1556,,,,,Gulf of America
1557,,,,,Gulf of America
1558,,,,,Gulf of America
1559,,,,,Gulf of America
1560,,,,,Gulf of America
1561,,,,,Gulf of America
1562,,,,,East Coast
1563,,,,,East Coast
1564,,,,,West Coast
1565,,,,,West Coast
1566,,,,,West Coast
1567,,,,,West Coast
1568,,,,,West Coast
1569,,,,,West Coast
1570,,,,,East Coast
1571,,,,,East Coast
1572,,,,,East Coast
1573,,,,,East Coast
1574,,,,,East Coast
1575,,,,,East Coast
1576,,,,,East Coast
1577,,,,,East Coast
1578,,,,,East Coast
1579,,,,,East Coast
1580,,,,,East Coast
1581,,,,,East Coast
1582,,,,,East Coast
1583,,,,,East Coast
1584,,,,,East Coast
1585,,,,,East Coast
1586,,,,,West Coast
1587,,,,,West Coast
1588,,,,,West Coast
1589,,,,,West Coast
1590,,,,,East Coast
1591,,,,,East Coast
1592,,,,,East Coast
1593,,,,,East Coast
1594,,,,,East Coast
1595,,,,,East Coast
1596,,,,,East Coast
1597,,,,,East Coast
1598,,,,,East Coast
1599,,,,,East Coast
1600,,,,,East Coast
1601,,,,,West Coast
1602,,,,,West Coast
1603,,,,,West Coast
1604,,,,,West Coast
1605,,,,,West Coast
1606,,,,,West Coast
1607,,,,Abandoned,West Coast
1608,,,,,East Coast
1609,,,,,East Coast
1610,,,,,East Coast
1611,,,,,East Coast
1612,,,,,East Coast
1613,,,,,East Coast
1614,,,,,East Coast
1615,,,,,East Coast
1616,,,,,East Coast
1617,,,,,East Coast
1618,,,,,East Coast
1619,,,,,East Coast
1620,,,,,West Coast
1621,,,,,West Coast
1622,,,,,West Coast
1623,,,,,West Coast
1624,,,,,West Coast
1625,,,,,West Coast
1626,,,,,East Coast
1627,,,,,East Coast
1628,,,,,East Coast
1629,,,,,East Coast
1630,,,,,East Coast
1631,,,,,East Coast
1632,,,,,East Coast
1633,,,,,East Coast
1634,,,,,East Coast
1635,,,,,East Coast
1636,,,,,East Coast
1637,,,,,East Coast
1638,,,,,East Coast
1639,,,,,East Coast
1640,,,,,East Coast
1641,,,,,East Coast
1642,,,,,East Coast
1643,,,,,East Coast
1644,,,,,East Coast
1645,,,,,West Coast
1646,,,,Abandoned,West Coast
1647,,,,,West Coast
1648,,,,,West Coast
1649,,,,,West Coast
1650,,,,,West Coast
1651,,,,,West Coast
1652,,,,,West Coast
1653,,,,,West Coast
1654,,,,Abandoned,West Coast
1655,,,,,West Coast
1656,,,,,West Coast
1657,,,,,West Coast
1658,,,,,West Coast
1659,,,,,West Coast
1660,,,,,West Coast
1661,,,,,West Coast
1662,,,,,West Coast
1663,,,,,East Coast
1664,,,,,East Coast
1665,,,,,East Coast
1666,,,,,East Coast
1667,,,,,East Coast
1668,,,,,East Coast
1669,,,,,East Coast
1670,,,,,East Coast
1671,,,,,East Coast
1672,,,,,East Coast
1673,,,,,East Coast
1674,,,,,East Coast
1675,,,,,East Coast
