ID_Punto,Nome_Punto,Longitudine,Latitudine,is_tbd
sirte-libya,"Sirte, Libya",16.588343734005548,31.205251640496304,False
misuratah-libya,"Misuratah, Libya",15.094790104552972,32.37427884369104,False
al-khums-libya,"Al Khums, Libya",14.26441959904531,32.64966152384897,False
zawia-libya,"Zawia, Libya",12.529752859149395,32.774720416295295,False
zuwara-libya,"Zuwara, Libya",12.083366456623823,32.93337907602355,False
hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",-118.39954892055475,33.862232632157735,False
sandy-point-vic-australia,"Sandy Point, VIC, Australia",146.11969728527944,-38.82018266620627,False
four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",146.85016551780996,-41.03327707528322,False
mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",147.07125911118302,-38.44361560267599,False
stanley-tas-australia,"Stanley, TAS, Australia",145.29411193263084,-40.760375144220674,False
inverloch-vic-australia,"Inverloch, VIC, Australia",145.72946318672496,-38.63345276915476,False
boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",145.62379919907835,-40.95086828582336,False
gav-spain,"Gavá, Spain",2.001342348824283,41.304002941820244,False
fomboni-moheli-comoros,"Fomboni Moheli, Comoros",43.73959403105522,-12.288236282174532,False
mutsamudu-comoros,"Mutsamudu, Comoros",44.400042781936996,-12.16665664973713,False
chindini-comoros,"Chindini, Comoros",43.48910592725337,-11.923498177297583,False
mouly-new-caledonia,"Mouly, New Caledonia",166.48901879296093,-20.70593760646555,False
xepenehe-new-caledonia,"Xepenehe, New Caledonia",167.1513230112785,-20.7809160007802,False
poindimie-new-caledonia,"Poindimie, New Caledonia",165.34155866833254,-20.945878679076127,False
angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",-27.215824453460687,38.65852273411055,False
vila-do-porto-portugal,"Vila do Porto, Portugal",-25.14126537622283,36.95676381760329,False
sao-mateus-portugal,"Sao Mateus, Portugal",-28.46123372745104,38.43229047782683,False
velas-portugal,"Velas, Portugal",-28.2131870281707,38.683845455403926,False
porto-santo-portugal,"Porto Santo, Portugal",-16.347668090064676,33.047316301636776,False
funchal-portugal,"Funchal, Portugal",-16.908946989325337,32.64686582848514,False
toco-trinidad-and-tobago,"Toco, Trinidad and Tobago",-60.94968727482579,10.831137615524929,False
pigeon-point-trinidad-and-tobago,"Pigeon Point, Trinidad and Tobago",-60.84031235230797,11.16540972374498,False
kaliko-haiti,"Kaliko, Haiti",-72.60871221858814,18.86458746066303,False
huahine-french-polynesia,"Huahine, French Polynesia",-151.0000690389311,-16.730055979033075,False
moorea-french-polynesia,"Moorea, French Polynesia",-149.82956205562922,-17.538774974102118,False
uturoa-french-polynesia,"Uturoa, French Polynesia",-151.4430374751281,-16.73090937041819,False
vaitape-french-polynesia,"Vaitape, French Polynesia",-151.7495313986299,-16.506324613958466,False
nasugbu-philippines,"Nasugbu, Philippines",120.62301068928154,14.088187386038742,False
saraemee-indonesia,"Saraemee, Indonesia",118.71180654503641,-8.796931179918277,False
hitiaa-french-polynesia,"Hitia'a, French Polynesia",-149.3081207746325,-17.723318964508866,False
domburg-netherlands,"Domburg, Netherlands",3.496165508627551,51.56395317878603,False
aldeburgh-united-kingdom,"Aldeburgh, United Kingdom",1.590600452297692,52.1578426448517,False
port-hedland-wa-australia,"Port Hedland, WA, Australia",118.57723632786723,-20.31345781610387,False
darwin-nt-australia,"Darwin, NT, Australia",130.8431456073319,-12.467490679762426,False
igiugig-ak-united-states,"Igiugig, AK, United States",-155.8947433058731,59.327800128586105,False
port-alsworth-ak-united-states,"Port Alsworth, AK, United States",-154.3369319094411,60.200371500530665,False
fish-camp-ak-united-states,"Fish Camp, AK, United States",-154.85885536783067,59.94919988638963,False
nondalton-ak-united-states,"Nondalton, AK, United States",-154.84772256321745,59.972649771731774,False
newhalen-ak-united-states,"Newhalen, AK, United States",-154.899773307594,59.7181450195821,False
kokhanok-ak-united-states,"Kokhanok, AK, United States",-154.75275192737027,59.44215809995201,False
pile-bay-ak-united-states,"Pile Bay, AK, United States",-153.88048692029113,59.776054476860836,False
illiamna-ak-united-states,"Illiamna, AK, United States",-154.90612095934728,59.754765229743505,False
pedro-bay-ak-united-states,"Pedro Bay, AK, United States",-154.10612152607442,59.7872115404838,False
williamsport-ak-united-states,"Williamsport, AK, United States",-153.63214725246726,59.682402835634406,False
mchugh-point-ak-united-states,"McHugh Point, AK, United States",-149.73219884335225,61.01571463051166,False
portage-ak-united-states,"Portage, AK, United States",-148.98981655676278,60.82828925189919,False
matara-sri-lanka,"Matara, Sri Lanka",80.53986093015084,5.940833037393244,False
kuakata-bangladesh,"Kuakata, Bangladesh",90.11661195839058,21.816735551700102,False
ngwe-saung-myanmar,"Ngwe Saung, Myanmar",94.39121830521923,16.858028367792194,False
yanbu-saudi-arabia,"Yanbu, Saudi Arabia",38.10698083375123,24.070555564820936,False
toulon-france,"Toulon, France",5.930343471732967,43.12529261338072,False
buenaventura-colombia,"Buenaventura, Colombia",-77.0403008760841,3.883674880769303,False
puerto-chacabuco-chile,"Puerto Chacabuco, Chile",-72.805098798216,-45.45830050296172,False
waingapu-indonesia,"Waingapu, Indonesia",120.25301639072892,-9.64615484323023,False
kupang-indonesia,"Kupang, Indonesia",123.5833851252144,-10.183308656195656,False
taytay-philippines,"Taytay, Philippines",119.50038020515338,10.819603438863586,False
san-jose-philippines,"San Jose, Philippines",121.05008613857723,12.362623239786029,False
coron-philippines,"Coron, Philippines",120.20067267780973,12.004960160699559,False
el-quawef-libya,"El-Quawef, Libya",25.08736115072189,31.760813307797136,False
faial-portugal,"Faial, Portugal",-28.647561720454593,38.525099690783364,False
graciosa-portugal,"Graciosa, Portugal",-27.963480173814336,39.01102990331266,False
corvo-portugal,"Corvo, Portugal",-31.110548256901776,39.67193532519225,False
flores-portugal,"Flores, Portugal",-31.128516994172585,39.462211754202585,False
piedra-santa-spain,"Piedra Santa, Spain",-15.408801567666467,28.04062233001219,False
las-caletillas-spain,"Las Caletillas, Spain",-16.36236534527797,28.37727858251394,False
sihanoukville-cambodia,"Sihanoukville, Cambodia",103.5066415352679,10.630005631197276,False
kralendijk-bonaire-netherlands,"Kralendijk, Bonaire, Netherlands",-68.27668403743753,12.150684714118114,False
north-salina-bonaire-sint-eustatius-and-saba,"North Salina, Bonaire, Sint Eustatius and Saba",-68.28414900000034,12.1638160000004,False
ratmalana-sri-lanka,"Ratmalana, Sri Lanka",79.88927545353178,6.820387603783256,False
mataram-indonesia,"Mataram, Indonesia",116.08153497084551,-8.586389151919366,False
beculuk-indonesia,"Beculuk, Indonesia",114.09706372041353,-8.615634129813643,False
toweli-indonesia,"Toweli, Indonesia",119.38836856575348,-1.142467701149998,False
pinamalayan-philippines,"Pinamalayan, Philippines",121.46453896997501,13.045778897500922,False
roxas-city-philippines,"Roxas City, Philippines",122.74998727810134,11.583305826411662,False
masbate-city-philippines,"Masbate City, Philippines",123.61668588287377,12.36672505260177,False
legazpi-city-philippines,"Legazpi City, Philippines",123.74373657411985,13.139089344982024,False
calbayog-philippines,"Calbayog, Philippines",124.60027893608729,12.069906190827878,False
ormoc-philippines,"Ormoc, Philippines",124.61277892723209,11.006888634178475,False
cebu-philippines,"Cebu, Philippines",123.89461537348717,10.310033388932034,False
cadiz-city-philippines,"Cadiz City, Philippines",123.29998688847635,10.950026359206582,False
dumaguete-philippines,"Dumaguete, Philippines",123.28143221412073,9.295611105669924,False
ozamiz-city-philippines,"Ozamiz City, Philippines",123.84998649885156,8.15002871017614,False
cagayan-de-oro-philippines,"Cagayan de Oro, Philippines",124.6319195386728,8.454228346754538,False
butuan-city-philippines,"Butuan City, Philippines",125.54061030119786,8.947615403087521,False
san-jose-de-buenavista-philippines,"San Jose de Buenavista, Philippines",121.94129644473541,10.748806024464415,False
santiago-de-cuba-cuba,"Santiago de Cuba, Cuba",-75.82897360919968,20.028793830551784,False
killala-ireland,"Killala, Ireland",-9.23219461510775,54.20682940735113,False
